                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0376,                  1.336,                0.99044,                 1.2529,                0.85727,                0.75862,                0.87488,                0.62324,                0.82709,                0.66502,                0.76008,                0.38078,                 1.0554,                 2.2369,                0.96869,                 1.2787,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.0521,                 1.3834,                0.96164,                 1.2241,                0.91214,                 0.8867,                0.95351,                0.72941,                0.87722,                0.85222,                0.91091,                0.50788,                0.88106,                 1.3175,                0.75721,                 1.1626,              0.0015446,              0.0015446,              0.0015446
                     26,                0.94573,                 1.4164,                0.85519,                 1.1473,                0.87916,                 0.9064,                0.94442,                 0.7097,                0.87169,                0.87015,                0.90953,                0.48808,                0.92947,                 1.2832,                0.75243,                 1.1833,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.0055,                 1.4768,                0.93183,                  1.173,                0.88196,                0.88177,                0.93224,                  0.729,                0.84497,                0.89655,                0.90485,                0.48359,                0.83145,                 1.2986,                0.73344,                 1.1441,               0.001505,               0.001505,               0.001505
                     28,                 1.0354,                 1.4543,                0.91705,                 1.2593,                0.90533,                0.89507,                 0.9557,                0.73628,                0.87062,                0.86185,                0.91389,                 0.4855,                0.86386,                 1.4074,                0.76025,                 1.1731,              0.0014852,              0.0014852,              0.0014852
                     29,                0.92936,                 1.3546,                0.86842,                 1.2085,                0.89982,                0.90148,                0.94722,                0.73771,                 0.8924,                0.85714,                0.91734,                0.53387,                0.83088,                  1.218,                0.70182,                 1.1248,              0.0014654,              0.0014654,              0.0014654
                     30,                0.95531,                 1.3848,                0.87672,                 1.1664,                0.90954,                0.90148,                0.95557,                0.73855,                0.90601,                0.90219,                0.93472,                0.52883,                0.83711,                 1.2569,                 0.7301,                 1.1295,              0.0014456,              0.0014456,              0.0014456
                     31,                0.94054,                 1.4148,                0.88317,                 1.1724,                0.90228,                0.90974,                0.96357,                0.76051,                0.88256,                0.92552,                0.94163,                0.53465,                0.79506,                 1.2311,                0.68791,                 1.1096,              0.0014258,              0.0014258,              0.0014258
                     32,                0.89872,                 1.2975,                0.78904,                 1.1423,                0.87188,                0.91133,                0.94172,                0.72806,                0.84832,                 0.8867,                 0.8934,                0.52418,                0.89536,                 1.2792,                0.72838,                 1.1681,               0.001406,               0.001406,               0.001406
                     33,                0.91076,                 1.3057,                 0.7916,                 1.1706,                0.92007,                0.87685,                0.94402,                0.71779,                0.93931,                0.84729,                0.91031,                0.51562,                0.93922,                 1.3151,                0.79795,                 1.2369,              0.0013862,              0.0013862,              0.0013862
